j,State/Region,ApprovedForBoth,Quantity (g),Calories (kcal),Protein (g),Carbs (g),Fat (g),Veg/Non-Veg,Meal Type,Ingredients
Vegetable Daliya + Yogurt,Universal,,1 bowl + yogurt (200g),265,10,45,6,Veg,Lunch/Dinner,"Broken wheat, mixed vegetables, yogurt, cumin, coriander"
Grilled Paneer + Roti + Dal,Universal,,1 plate (220g),365,20,35,15,Veg,Lunch/Dinner,"Grilled paneer, whole wheat roti, moong dal, spices"
Vegetable Soup + Multigrain Roti,Universal,,1 bowl + roti (200g),220,8,38,5,Veg,Lunch/Dinner,"Mixed vegetables, multigrain flour, ginger, garlic"
Sprouted Moong Curry + Rice,Universal,,1 bowl + rice (220g),285,12,52,4,Veg,Lunch/Dinner,"Sprouted moong, rice, onion, tomato, turmeric"
Soya Chunk Curry + Rice + Dal,Universal,,1 bowl + sides (250g),385,25,48,10,Veg,Lunch/Dinner,"Soya chunks, rice, yellow dal, onion, tomato, ginger, garlic, spices"
Soya Keema + Roti + Salad,Universal,,1 bowl + sides (220g),365,22,42,12,Veg,Lunch/Dinner,"Soya granules, whole wheat roti, cucumber, tomato, onion, peas, spices"
Soya Wrap + Salad + Yogurt,Universal,,1 wrap + sides (200g),320,18,42,8,Veg,Lunch/Dinner,"Soya keema, whole wheat tortilla, salad, yogurt, mint"
Soybean Curry + Chapati + Pickle,Universal,,1 bowl + roti + pickle (220g),365,20,45,12,Veg,Lunch/Dinner,"Soybeans, whole wheat flour, pickle, onion, tomato, turmeric, cumin"
Vegetable Pasta Salad + Lemon Dressing,Western,,1 bowl (180g),285,8,52,6,Veg,Lunch/Snack,"Whole wheat pasta, mixed vegetables, lemon juice, olive oil, herbs"
Chicken Roll + Mint Chutney,Universal,,1 roll + chutney (180g),385,22,42,15,Non-Vegetarian,Lunch/Snack,"Chicken, whole wheat wrap, mint chutney, onion"
Mixed Sprout Salad + Lemon Dressing,Universal,,1 large bowl (200g),180,12,25,4,Veg,Lunch/Snack,"Moong sprouts, chana sprouts, cucumber, tomato, onion, lemon, mint, chaat masala"
Chana Sprout Salad + Yogurt Dressing,Universal,,1 bowl (180g),195,12,28,5,Veg,Lunch/Snack,"Chana sprouts, cucumber, carrot, yogurt, mint, black pepper"
Soybean Sprout Salad + Lemon,Universal,,1 large bowl (180g),220,15,25,8,Veg,Lunch/Snack,"Soybean sprouts, cucumber, tomato, onion, lemon, chaat masala, coriander"
Kosambari,Universal,,1 cup (100g),80,3,12,3,Veg,Side Dish,"Cucumber, green gram sprouts, coconut, mustard seeds, curry leaves"
Chekkalu,Universal,,10 pieces (50g),160,3,20,7,Veg,Snack,"Rice flour, chana dal, cumin, sesame seeds, oil"
Mysuru Bonda,Universal,,2 pieces (50g),140,4,20,6,Veg,Snack,"Urad dal, rice flour, ginger, green chili, curry leaves, oil"
Uzhunnu Vada,Universal,,1 piece (30g),90,3,10,4,Veg,Snack,"Urad dal, black pepper, ginger, curry leaves, oil"
Bread Butter Jam,Universal,,2 slices + spreads (80g),250,5,45,6,Veg,Snack,"White bread, butter, fruit jam 7"
Boiled Eggs + Salt-Pepper,Universal,,2 eggs + seasoning,150,12,1,10,Eggetarian,Snack,"Eggs, salt, black pepper"
Moong Sprout Chaat + Green Chutney,Universal,,1 bowl (150g),165,10,22,4,Veg,Snack,"Moong sprouts, onion, tomato, green chutney, lemon, coriander"
Puri + Aloo Sabzi + Pickle,Uttar Pradesh,,4 puris + 1 small bowl + 1 tbsp,660,4.5,94,25.4,Veg,Breakfast,"Wheat flour, urad dal, fennel, potatoes, onions, tomatoes, spices, pickle"
Tehri + Raita + Papad,Uttar Pradesh,,320g (1 large plate + 1 small bowl + 2 pieces),355,9,60,9,Veg,Lunch/Dinner,"Rice, mixed vegetables, turmeric, cumin, ghee, yogurt, cucumber, papad"
Mixed Dal + Rice + Ghee + Pickle,Uttar Pradesh,,320g (1 medium bowl + 1 large plate + 1 tsp + 1 tbsp),525,17,88,14,Veg,Lunch/Dinner,"Mixed lentils, basmati rice, turmeric, cumin, ghee, pickle"
Matar Paneer + Pulao + Papad,Uttar Pradesh,,330g (1 medium bowl + 1 large plate + 2 pieces),515,19,71,19,Veg,Lunch/Dinner,"Green peas, paneer, onions, tomatoes, rice, whole spices, papad"
Litti Chokha + Ghee,Uttar Pradesh,,200g (4 pieces + 1 medium bowl + 1 tbsp),365,10,50,16,Veg,Lunch/Dinner,"Wheat flour, sattu, eggplant, tomatoes, onions, ghee"
Paneer Makhani + Roti + Salad,Uttar Pradesh,,1 bowl (200g)+ 3 rotis + 1 plate,560,22,48,33,Veg,Lunch/Dinner,"Paneer, tomatoes, butter, cream, cashews, whole wheat flour, yogurt, cucumber, onions"
Egg Wrap + Hash Browns,Western,,1 wrap + hash browns (200g),420,18,48,18,Veg,Breakfast,"Scrambled eggs, whole wheat tortilla, potato hash browns"
Egg Sandwich + Orange Juice,Western,,1 sandwich + juice (200g),365,15,52,12,Veg,Breakfast/Lunch,"Boiled eggs, whole wheat bread, orange juice"
Savory French Toast,Western,,2 slices + 1 egg (180g),241,9.3,29.6,9.8,Eggetarian,Breakfast/Lunch,"Bread, eggs, milk, spices 6"
French Toast + Ketchup,Western,,2 slices (150g),300,10,40,12,Veg,Breakfast,"Bread, eggs, milk, spices"
"Pancakes – 2 small pancakes made with flour, milk & egg",Western,,2 small (100g),180,5,28,6,Eggetarian,Breakfast,"All-purpose flour, milk, egg, baking powder, sugar, butter (optional)"
Whole Wheat Pasta + Vegetables + Paneer,Western,,1 bowl (200g),385,18,58,10,Veg,Lunch/Dinner,"Whole wheat pasta, paneer, bell pepper, onion, tomato, olive oil, herbs"
Chicken Pasta + Mixed Vegetables,Western,,1 bowl (220g),420,25,55,12,Non-Vegetarian,Lunch/Dinner,"Whole wheat pasta, chicken breast, mixed vegetables, garlic, herbs"
